Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2
2025,2,30721,33195,"Boston, MA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",1204,2886,191.41,B6,0.4345,191.32,WN,0.1531,181.26,2777003.33333333,0.892133333333333,-0.0236333333333333,1609760.0,0.989733333333333,-0.445166666666666
2025,2,34057,32457,"Portland, OR","San Francisco, CA (Metropolitan Area)",569,2842,181.66,AS,0.4471,191.7,WN,0.3425,159.23,3036620.0,0.713,-0.087,3284783.33333333,0.880833333333333,-0.0514666666666666
2025,2,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",879,2817,218.48,AA,0.4866,265.26,F9,0.1114,105.18,4521920.0,0.8224,0.03865,3472715.0,0.9637,-0.301199999999999
2025,2,31453,32467,"Houston, TX","Miami, FL (Metropolitan Area)",966,2781,187.52,NK,0.3505,103.76,NK,0.3505,103.76,3078355.0,0.8194,0.01925,4322090.0,0.8859,-0.0658
2025,2,30977,33195,"Chicago, IL","Tampa, FL (Metropolitan Area)",1012,2760,190.23,WN,0.3167,186.67,NK,0.1002,105.4,5402975.0,0.77515,-0.00784999999999999,1609760.0,0.989733333333333,-0.445166666666666
2025,2,30423,32575,"Austin, TX","Los Angeles, CA (Metropolitan Area)",1242,2759,233.36,WN,0.4678,219.77,WN,0.4678,219.77,3612430.0,0.8982,0.0672,2822942.0,0.86508,-0.03806
2025,2,30397,31453,"Atlanta, GA (Metropolitan Area)","Houston, TX",696,2749,189.46,DL,0.3741,229.24,NK,0.118,97.99,7640240.0,0.8692,0.127,3078355.0,0.8194,0.01925
2025,2,30977,34100,"Chicago, IL","Philadelphia, PA",678,2748,222.97,AA,0.5108,235.85,WN,0.1814,193.91,5402975.0,0.77515,-0.00784999999999999,4375880.0,0.8143,0.0707
2025,2,30325,32211,"Denver, CO","Las Vegas, NV",628,2730,163.58,WN,0.4653,159.5,F9,0.2268,109.7,7993970.0,0.9393,-0.0355,7899270.0,0.9837,-0.1219
2025,2,31295,31454,"Detroit, MI","Orlando, FL",957,2629,187.43,DL,0.5531,249.62,NK,0.3063,97.53,3881350.0,0.8558,0.0756,8664260.0,0.9797,-0.1155
2025,2,30977,30559,"Chicago, IL","Seattle, WA",1733,2595,227.6,AS,0.3874,222.46,DL,0.1887,218.64,5402975.0,0.77515,-0.00784999999999999,6438890.0,0.5614,-0.0635
2025,2,31650,31703,"Minneapolis/St. Paul, MN","New York City, NY (Metropolitan Area)",1057,2572,266.61,DL,0.5877,315.69,SY,0.1692,127.7,4379460.0,0.9079,0.0525,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,32211,30852,"Las Vegas, NV","Washington, DC (Metropolitan Area)",2106,2570,279.61,WN,0.3695,287.08,WN,0.3695,287.08,7899270.0,0.9837,-0.1219,3435623.33333333,0.6599,0.0452
2025,2,31703,30852,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",234,2544,216.01,DL,0.3485,214.22,UA,0.2717,210.5,2978413.33333333,0.821149999999999,-0.0328666666666666,3435623.33333333,0.6599,0.0452
2025,2,31295,32467,"Detroit, MI","Miami, FL (Metropolitan Area)",1145,2523,195.07,DL,0.6278,233.29,NK,0.2923,108.32,3881350.0,0.8558,0.0756,4322090.0,0.8859,-0.0658
2025,2,30721,30325,"Boston, MA (Metropolitan Area)","Denver, CO",1754,2516,247.2,UA,0.4573,266.11,B6,0.1658,201.3,2777003.33333333,0.892133333333333,-0.0236333333333333,7993970.0,0.9393,-0.0355
2025,2,33570,30559,"San Diego, CA","Seattle, WA",1050,2501,204.84,AS,0.6309,210.33,DL,0.3041,193.2,4512730.0,0.8522,-0.0698,6438890.0,0.5614,-0.0635
2025,2,30721,30194,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",1562,2472,257.48,AA,0.5704,279.68,DL,0.2001,259.28,2777003.33333333,0.892133333333333,-0.0236333333333333,4521920.0,0.8224,0.03865
2025,2,30397,31454,"Atlanta, GA (Metropolitan Area)","Orlando, FL",404,2436,190.8,DL,0.5429,248.53,NK,0.1063,92.75,7640240.0,0.8692,0.127,8664260.0,0.9797,-0.1155
2025,2,30194,30559,"Dallas/Fort Worth, TX","Seattle, WA",1670,2431,238.68,AA,0.4129,251.61,AS,0.3868,236.31,4521920.0,0.8224,0.03865,6438890.0,0.5614,-0.0635
2025,2,30325,30559,"Denver, CO","Seattle, WA",1024,2431,196.99,AS,0.3558,202.11,WN,0.1456,186.8,7993970.0,0.9393,-0.0355,6438890.0,0.5614,-0.0635
2025,2,30325,31453,"Denver, CO","Houston, TX",883,2430,218.67,UA,0.51,259.86,F9,0.131,115.69,7993970.0,0.9393,-0.0355,3078355.0,0.8194,0.01925
2025,2,30397,34100,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",666,2424,201.03,DL,0.4978,245.58,F9,0.2404,107.23,7640240.0,0.8692,0.127,4375880.0,0.8143,0.0707
2025,2,33495,31703,"New Orleans, LA","New York City, NY (Metropolitan Area)",1218,2414,227.55,DL,0.3405,253.36,B6,0.1065,196.67,2354560.0,0.9673,-0.0502,2978413.33333333,0.821149999999999,-0.0328666666666666
